emulator_scenario,fair_scenario,short,year,p5,p17,p33,p50,p66,p83,p95
vl,verylow,VLLO,1915,-0.1350224780374653,-0.0627137643230561,-0.0102700098189089,0.0284181433937905,0.064708891974391,0.1184179735861941,0.2003839188072476
vl,verylow,VLLO,1916,-0.1297540807823498,-0.061408578854559,-0.0139063899343545,0.0294876834843279,0.0645990821457367,0.1191031344204435,0.1991225578093442
vl,verylow,VLLO,1917,-0.1321506408414621,-0.0582998184394952,-0.0140182093416102,0.0220293367958962,0.0615814490348422,0.1141365686917911,0.1930558115526051
vl,verylow,VLLO,1918,-0.1306149262181952,-0.0580607985358008,-0.012688493379258,0.0236230017412915,0.0665189513353266,0.1228997967165181,0.1938303023938156
vl,verylow,VLLO,1919,-0.1290428260009728,-0.064277666182093,-0.0061349917627538,0.0327169646884754,0.0734304919820221,0.1226489697039215,0.1889008433642658
vl,verylow,VLLO,1920,-0.1407434927804009,-0.0675072160432349,-0.0063263584055894,0.0370353530863726,0.0700863855801695,0.1201790017937763,0.1967566452241123
vl,verylow,VLLO,1921,-0.1357102509767125,-0.0583595517379755,-0.0061830379337834,0.0317329490108334,0.068507142225755,0.1223313855197094,0.2064241393595157
vl,verylow,VLLO,1922,-0.1404033087448815,-0.0569282846892358,-0.0065515372835607,0.0327350786312389,0.0755675127558052,0.1297523134558561,0.2100436932423243
vl,verylow,VLLO,1923,-0.1224798453095075,-0.046516283959136,0.0006915966540951,0.041968300767709,0.0811426094698433,0.1328384059566573,0.2109267981713607
vl,verylow,VLLO,1924,-0.131441405203952,-0.053895271930124,-0.0047609578037126,0.0371540502525408,0.0850324431038157,0.1457879695480486,0.220622437146794
vl,verylow,VLLO,1925,-0.1245089929049951,-0.0431748803939006,0.0087759173880603,0.0458379234586475,0.0852025646370949,0.1337401692182107,0.2083050339348217
vl,verylow,VLLO,1926,-0.1122372660629592,-0.0411355502717821,0.004509942327547,0.046551390751256,0.0870964026863857,0.1440625970297386,0.2237745322767664
vl,verylow,VLLO,1927,-0.1081665905662222,-0.0370347121750563,0.0108531084062099,0.0502698274426235,0.0901706215612428,0.1422187292348249,0.2132238379555741
