scenario,year,gmean_K
ghg,2014,288.55442910201566
ghg,2015,288.462127027283
ghg,2016,288.7255250893532
ghg,2017,288.80053225540115
ghg,2018,288.6508311092831
ghg,2019,288.81106477802166
ghg,2020,288.88209610952316
ghg,2021,288.9279672390494
ghg,2022,289.0056806362197
ghg,2023,289.0730979214082
ghg,2024,289.01103736912165
ghg,2025,289.1294509514351
ghg,2026,289.12731948188764
ghg,2027,288.8834449886764
ghg,2028,289.00663806590205
ghg,2029,289.19571505099276
ghg,2030,289.27690936688725
ghg,2031,289.42013817535536
ghg,2032,289.3361176063692
ghg,2033,289.3537492569059
ghg,2034,289.33975936334133
ghg,2035,289.3230444079357
ghg,2036,289.3684278992354
ghg,2037,289.212647786885
ghg,2038,289.331512643324
ghg,2039,289.4563401274297
ghg,2040,289.6699166616909
ghg,2041,289.4315609906608
ghg,2042,289.63512437328865
ghg,2043,289.64766423545683
ghg,2044,289.6030928216209
ghg,2045,289.6174417660371
ghg,2046,289.73393148187904
ghg,2047,289.91052709526895
ghg,2048,289.841539213179
ghg,2049,290.00759253893483
ghg,2050,289.88260435138255
