year,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10,m11
2023,13.123587,13.216812,13.110858,13.050214,13.137240,13.049746,13.083355,13.154352,13.205156,13.032876,13.222534
2024,13.088059,13.086221,13.260921,13.181158,13.418154,12.816055,13.232237,12.967809,13.089753,13.105087,13.118919
2025,13.035182,12.977019,13.266849,13.098856,13.089232,13.271200,13.036679,13.379654,13.038970,12.799999,13.161343
2026,12.925396,13.085351,13.115615,13.113963,13.276044,12.883479,13.052162,13.237876,13.070052,13.096005,13.246205
2027,13.098954,13.164387,12.988765,13.411501,12.982811,12.829595,13.009692,13.174064,13.319185,13.202724,13.212487
2028,13.160114,13.313782,13.241722,13.249636,13.329602,12.958369,13.316832,13.135447,12.994758,13.185327,12.961234
2029,13.361683,13.161652,12.911476,12.951930,12.973112,13.057003,12.934081,13.274181,13.277021,13.199141,12.993086
2030,13.032518,13.187074,13.027510,13.069207,13.218238,13.281588,13.146806,13.246180,13.328437,13.128398,13.010967
2031,13.072988,13.074456,13.177779,13.062240,13.211784,13.058581,13.154440,13.301276,13.184573,13.083581,12.891579
2032,13.247756,13.232085,13.220852,12.948614,13.277935,13.048400,13.180284,12.975957,12.994249,13.133443,12.958938
2033,13.296796,13.030273,13.319105,12.908521,13.034504,13.140480,13.239762,13.292632,13.079758,13.075797,13.071832
2034,13.144626,13.312085,12.983528,13.034361,13.039962,12.942302,13.054497,13.230730,13.196200,13.145915,13.266389
2035,12.922349,13.134430,13.151455,13.193630,13.167242,13.144746,13.125444,13.149611,13.195931,13.244220,12.852313
2036,12.967837,13.377328,13.050304,13.162686,13.412847,13.149077,12.916044,13.010085,13.243077,13.217644,13.130668
2037,13.301355,13.004263,13.005139,13.208713,12.921737,12.929314,13.072156,13.186582,13.016160,12.964746,12.923126
2038,12.938892,13.229637,13.017832,13.287916,13.104255,13.072530,12.880177,13.054199,13.109339,13.153694,13.147027
2039,12.951604,13.202445,13.099410,13.131075,12.868401,13.148389,13.135020,13.452229,12.909823,13.020638,13.114754
2040,13.051896,13.283298,12.857325,13.310127,12.957358,12.911056,12.985718,13.014012,13.098917,13.044938,12.996182
2041,12.886790,12.965941,13.130670,13.131686,13.015692,13.050545,12.930099,12.953209,13.169947,13.184065,13.137404
2042,12.957562,13.109042,12.876195,13.002298,13.024829,12.988606,12.964925,13.012119,13.164385,13.012674,13.282923
2043,12.961111,13.343512,12.936033,12.977733,13.070319,13.043599,13.042289,12.868341,13.141463,12.916098,13.041418
2044,13.203102,13.265374,12.963540,13.163400,13.082833,13.077325,13.260949,13.178639,12.805800,13.039257,12.904923
2045,13.109356,13.171853,13.040141,13.024149,13.178978,13.096333,13.100553,12.874709,13.224709,13.143532,13.023176
2046,13.218288,13.072519,13.177058,12.926331,13.140132,13.049760,13.139202,13.052250,13.041982,13.029221,12.912699
2047,12.969553,12.832078,13.128000,13.098412,13.113911,13.078857,12.886934,12.933025,12.962269,13.087888,13.163819
2048,13.072460,13.414247,12.964751,12.958982,12.997937,13.224638,13.144923,12.956095,12.941541,13.101809,12.968782
2049,12.996068,12.849905,13.098851,13.213278,13.054665,12.896866,13.090841,13.243678,13.031990,13.029562,13.313618
2050,13.250336,13.022045,13.079531,12.993340,12.808384,13.048115,13.119519,13.096888,13.282327,12.977939,13.061200
