scenario,source,value,unit
ssp245,emulator,4.66007590975147,%
ssp245,emulator,4.529315373907102,%
ssp245,emulator,4.784340776805564,%
ssp245,emulator,4.199037791660127,%
ssp245,emulator,3.170977289795578,%
ssp245,emulator,4.291350545954442,%
ssp245,emulator,4.193663313917416,%
ssp245,emulator,3.9912762768304244,%
ssp245,emulator,4.340751404548648,%
ssp245,emulator,5.041764871979057,%
ssp245,emulator,4.320147309774972,%
ssp245,emulator,4.798906950562607,%
ssp245,emulator,4.456567775910296,%
ssp245,emulator,4.029575160555574,%
ssp245,emulator,3.4752573510765816,%
ssp245,emulator,5.516383933341281,%
ssp245,emulator,4.725095445249381,%
ssp245,emulator,4.12419893993,%
ssp245,emulator,4.11596828863414,%
ssp245,emulator,3.9335353531348103,%
ssp245,emulator,3.6177406614797825,%
ssp245,emulator,3.5070087742048344,%
ssp245,emulator,4.429531209459945,%
ssp245,emulator,3.0590648285429918,%
ssp245,emulator,4.998702985081213,%
ssp245,emulator,3.491928756908188,%
ssp245,emulator,3.208778748246745,%
ssp245,emulator,5.280843812628591,%
ssp245,emulator,4.827885926466741,%
ssp245,emulator,4.505450701385708,%
ssp245,emulator,3.6206859400287867,%
ssp245,emulator,4.901472913396594,%
ssp245,emulator,5.422188155177676,%
ssp245,emulator,4.325198253032388,%
ssp245,emulator,4.712879599639349,%
ssp245,emulator,4.225558882656953,%
ssp245,emulator,4.881406099493458,%
ssp245,emulator,4.112427980829186,%
ssp245,emulator,5.485673347052529,%
ssp245,emulator,3.140053794912761,%
ssp245,emulator,5.153593127339643,%
ssp245,emulator,3.9465464100878553,%
ssp245,emulator,3.99810449307173,%
ssp245,emulator,3.988767449170939,%
ssp245,emulator,4.535519103268571,%
ssp245,emulator,4.403191760020746,%
ssp245,emulator,3.1665198520750413,%
ssp245,emulator,5.0412905640974115,%
ssp245,emulator,4.687050754885007,%
ssp245,emulator,5.2690085674174805,%
ssp245,emulator,3.4493758944909354,%
ssp245,emulator,4.997009788408393,%
ssp245,emulator,5.6735859626022,%
ssp245,emulator,5.134769599998257,%
ssp245,emulator,4.553566271145538,%
ssp245,emulator,3.6536559845462055,%
ssp245,emulator,4.353385714445559,%
ssp245,emulator,5.4677211115421205,%
ssp245,emulator,5.655552665764317,%
ssp245,cesm2,4.981477756254839,%
ssp245,cesm2,5.064523724414043,%
ssp245,cesm2,5.610973940054435,%
ssp245,cesm2,5.6777206295319225,%
ssp245,cesm2,6.00757807792555,%
ssp245,cesm2,5.274290296649099,%
ssp245,cesm2,5.54622885716589,%
ssp245,cesm2,4.696985095255395,%
ssp245,cesm2,5.861380139144365,%
ssp245,cesm2,5.513013322844553,%
ssp245,cesm2,5.995073296421167,%
ssp245,cesm2,4.890855668783055,%
ssp245,cesm2,5.75625204635293,%
ssp245,cesm2,4.715470953172883,%
ssp245,cesm2,5.77265664162276,%
ssp245,cesm2,5.6446691126039,%
ssp245,cesm2,5.634009303258027,%
ssp245,cesm2,5.33483863787804,%
ssp245,cesm2,6.718459058294498,%
ssp245,cesm2,5.151824315302277,%
ssp245,cesm2,5.680274361101576,%
ssp245,cesm2,4.846629023566633,%
ssp245,cesm2,5.531907761478428,%
ssp245,cesm2,5.251453350172893,%
ssp245,cesm2,5.63340282947697,%
ssp245,cesm2,5.0586018661914585,%
ssp245,cesm2,5.477773002692993,%
ssp245,cesm2,6.114935120175075,%
ssp245,cesm2,5.966525133873512,%
ssp245,cesm2,6.419509612923728,%
